Case ID, Side Force, Pitching Moment, Normal Force, Yawing Moment , Rolling Moment, Axial Force, Dynamic Pressure, Static Pressure, Air Speed
6,3.268134,2.168449,-2.454204,-2.876563,-2.746409,-0.00435,0.172216,-0.012033,150.002605
6,3.221969,2.248182,-2.396021,-2.836558,-0.670715,0.017516,0.172262,-0.012056,150.022598
6,3.423109,1.981865,-2.585356,-2.995333,-7.751081,-0.009677,0.172273,-0.012179,150.027373
6,3.274799,2.168618,-2.458298,-2.880188,-2.81565,0.002635,0.172189,-0.012067,149.990489
6,3.320638,2.10365,-2.50147,-2.92634,-4.479682,-0.007264,0.172338,-0.011974,150.055394
6,3.414116,1.996034,-2.576775,-3.015347,-7.632304,-0.034288,0.172372,-0.012086,150.070158
6,3.443756,1.95878,-2.611754,-3.026885,-8.737543,-0.020479,0.172337,-0.012309,150.055276
6,3.277272,2.178422,-2.450749,-2.879047,-2.764132,0.020073,0.172104,-0.012388,149.953647
6,3.559233,1.800649,-2.722836,-3.121391,-12.645208,-0.020273,0.172054,-0.012205,149.931735
6,3.442666,1.947937,-2.618056,-3.050103,-8.787105,-0.025695,0.172105,-0.012083,149.954059
7,4.506809,3.048522,-3.352924,-3.698753,0.555103,-0.158056,0.1726,-0.012072,150.169471
7,4.518356,3.036924,-3.370531,-3.744219,0.560872,-0.180269,0.172604,-0.012023,150.17137
7,4.518317,3.04793,-3.360596,-3.72574,0.55078,-0.182913,0.173154,-0.01181,150.410156
7,4.511568,3.051309,-3.353483,-3.714683,0.542731,-0.18607,0.173142,-0.01191,150.405133
7,4.522573,3.03495,-3.380743,-3.741026,0.558073,-0.163938,0.173096,-0.012078,150.385333
7,4.525317,3.089495,-3.366191,-3.710255,0.558023,-0.155039,0.173069,-0.012074,150.373269
7,4.527525,3.017367,-3.366432,-3.736352,0.540708,-0.159087,0.173443,-0.011922,150.535977
7,4.533461,3.050368,-3.366993,-3.714413,0.523336,-0.162663,0.173511,-0.011993,150.56544
7,4.535655,3.026828,-3.379484,-3.755583,0.548439,-0.158167,0.173457,-0.012129,150.542102
7,4.542712,3.048035,-3.372145,-3.739081,0.556027,-0.175185,0.173915,-0.011918,150.740396
7,4.532966,3.04727,-3.38168,-3.749659,0.562262,-0.170092,0.174039,-0.012103,150.79436
7,4.546413,3.047361,-3.385953,-3.738337,0.554372,-0.165239,0.173894,-0.012202,150.731419
7,4.545505,3.049577,-3.388907,-3.745058,0.564838,-0.168985,0.173872,-0.012208,150.722008
7,4.543428,3.057262,-3.388364,-3.750215,0.562366,-0.168518,0.174053,-0.012182,150.800182
7,4.54472,3.057775,-3.38434,-3.747693,0.558072,-0.167633,0.173943,-0.012353,150.7526
7,4.552768,3.068953,-3.39278,-3.741788,0.550726,-0.161229,0.173977,-0.012253,150.767484
7,4.540495,3.049341,-3.38555,-3.749064,0.564856,-0.164876,0.174071,-0.012217,150.808168
7,4.552203,3.073165,-3.385271,-3.737121,0.557124,-0.169554,0.17402,-0.012301,150.786103
7,4.555371,3.06614,-3.393627,-3.74638,0.555377,-0.163832,0.174098,-0.012268,150.819839
7,4.553988,3.035697,-3.405922,-3.762118,0.574518,-0.154766,0.174457,-0.01223,150.975353
7,4.558168,3.070199,-3.387216,-3.753677,0.543674,-0.176965,0.174314,-0.012326,150.913254
8,5.833523,3.794066,-4.375409,-4.510663,0.423267,-0.288227,0.172231,-0.013843,149.593581
8,5.853048,3.803788,-4.369859,-4.514964,0.455902,-0.28877,0.172345,-0.013707,149.643061
8,5.850267,3.789388,-4.371776,-4.522123,0.434594,-0.281177,0.172576,-0.013555,149.743583
8,5.866125,3.818945,-4.373096,-4.49912,0.445132,-0.269092,0.172693,-0.013575,149.794091
8,5.862214,3.776645,-4.376626,-4.532776,0.457162,-0.273146,0.172785,-0.013635,149.834316
8,5.874209,3.81463,-4.370972,-4.486139,0.416419,-0.257871,0.17279,-0.01369,149.836159
8,5.863617,3.777325,-4.375887,-4.519847,0.430005,-0.267077,0.172997,-0.013655,149.926089
8,5.854363,3.798759,-4.360678,-4.49673,0.425166,-0.274485,0.172708,-0.013719,149.800596
8,5.850849,3.77328,-4.373859,-4.518723,0.430976,-0.287855,0.172705,-0.013758,149.799406
8,5.856759,3.783624,-4.373996,-4.507166,0.481889,-0.286902,0.172678,-0.01377,149.787728
8,5.856852,3.785749,-4.368714,-4.503664,0.434096,-0.275747,0.172767,-0.013649,149.82631
8,5.838431,3.769163,-4.357732,-4.495338,0.431058,-0.285334,0.172789,-0.013743,149.835647
8,5.845141,3.772055,-4.357859,-4.490793,0.434472,-0.259612,0.172518,-0.013931,149.718099
8,5.857223,3.765475,-4.365737,-4.514272,0.447859,-0.254137,0.172616,-0.013731,149.760679
8,5.859439,3.793436,-4.369959,-4.501546,0.445146,-0.258906,0.172696,-0.013708,149.795662
8,5.841367,3.770812,-4.364115,-4.50817,0.45974,-0.271145,0.172516,-0.013768,149.71761
8,5.847882,3.79474,-4.373368,-4.506649,0.446711,-0.292272,0.172457,-0.013755,149.691792
8,5.854343,3.790137,-4.365322,-4.51446,0.474186,-0.289672,0.172542,-0.013618,149.728869
8,5.854789,3.776103,-4.379723,-4.519681,0.454693,-0.276148,0.172643,-0.013583,149.772682
8,5.852216,3.799546,-4.357648,-4.491719,0.458877,-0.265,0.172608,-0.013686,149.757553
8,5.868243,3.794445,-4.371005,-4.512882,0.425529,-0.264826,0.172566,-0.01358,149.7392
9,7.181523,4.895297,-5.352383,-6.318941,0.273574,-0.172126,0.1741,-0.013942,150.542574
9,7.145104,4.834002,-5.322038,-6.234855,0.380577,-0.180469,0.174312,-0.013918,150.634104
9,7.155478,4.852967,-5.325805,-6.308204,0.305158,-0.170536,0.174293,-0.01411,150.626061
9,7.149959,4.807018,-5.312727,-6.237174,0.164256,-0.160012,0.174155,-0.014164,150.566443
9,7.166849,4.848968,-5.339075,-6.280574,0.296227,-0.158531,0.174246,-0.014028,150.605556
9,7.171198,4.858486,-5.344383,-6.323125,0.336247,-0.167635,0.174431,-0.014112,150.68568
9,7.16293,4.845021,-5.318868,-6.238235,0.356896,-0.158261,0.174273,-0.014194,150.617444
9,7.169427,4.838503,-5.338558,-6.320639,0.311289,-0.171834,0.174301,-0.014128,150.629245
9,7.170374,4.875486,-5.323785,-6.207251,0.426124,-0.169976,0.174458,-0.014052,150.697258
9,7.142048,4.79919,-5.331409,-6.265023,0.272946,-0.180787,0.174537,-0.014116,150.731336
9,7.14895,4.835162,-5.302282,-6.268406,0.255668,-0.154805,0.174497,-0.014228,150.714223
9,7.110269,4.806579,-5.307749,-6.191665,0.349569,-0.164162,0.174464,-0.014207,150.699597
9,7.166496,4.862114,-5.333424,-6.293021,0.295768,-0.171443,0.174437,-0.014284,150.688208
9,7.170765,4.874173,-5.346067,-6.298847,0.305889,-0.167812,0.174435,-0.014236,150.687233
9,7.127006,4.752715,-5.303351,-6.242018,0.168466,-0.154637,0.174588,-0.014162,150.753271
9,7.185721,4.820702,-5.348473,-6.330262,0.081307,-0.17994,0.174741,-0.014239,150.819198
9,7.165379,4.821328,-5.334562,-6.287436,0.19219,-0.177615,0.174762,-0.014254,150.828308
9,7.181393,4.860468,-5.34996,-6.305373,0.287945,-0.164207,0.17486,-0.014366,150.870854
9,7.165639,4.778718,-5.333349,-6.235361,0.197306,-0.144466,0.174796,-0.014386,150.843187
9,7.15973,4.849736,-5.332746,-6.261503,0.301319,-0.169388,0.174884,-0.014352,150.880963
9,7.152452,4.770705,-5.327261,-6.243456,0.03379,-0.17025,0.174824,-0.01445,150.85497
10,7.637679,5.070566,-5.66906,-6.766289,-0.47512,-0.069749,0.171388,-0.015353,149.641281
10,7.621646,5.0059,-5.644935,-6.700606,-0.502349,-0.077624,0.1714,-0.015389,149.646414
10,7.704158,5.140598,-5.71244,-6.852498,-0.441481,-0.078818,0.171451,-0.015379,149.668813
10,7.702886,5.082319,-5.705257,-6.839461,-0.633851,-0.060044,0.171553,-0.015397,149.71339
10,7.684386,5.114229,-5.71008,-6.78437,-0.266041,-0.055182,0.171456,-0.015462,149.671063
10,7.644975,5.035314,-5.664546,-6.735919,-0.679885,-0.044286,0.171401,-0.015574,149.646917
10,7.694528,5.094742,-5.728335,-6.76734,-0.259649,-0.077713,0.171393,-0.015557,149.64374
10,7.662699,5.082272,-5.687455,-6.807382,-0.742535,-0.079253,0.171737,-0.015497,149.79356
10,7.66008,5.082061,-5.679321,-6.746521,-0.570683,-0.067875,0.171654,-0.015542,149.757378
10,7.689133,5.10573,-5.716669,-6.873121,-0.5152,-0.071393,0.171568,-0.015468,149.71986
10,7.630052,5.058724,-5.659638,-6.670431,-0.607846,-0.057468,0.171626,-0.01554,149.745086
10,7.677106,5.086115,-5.711446,-6.761737,-0.387507,-0.054718,0.171684,-0.015515,149.770318
10,7.626627,4.989801,-5.64662,-6.708087,-0.847272,-0.048192,0.171769,-0.015587,149.807762
10,7.628158,4.980449,-5.638898,-6.66493,-0.948314,-0.050951,0.171682,-0.015619,149.769503
10,7.661013,5.030185,-5.681165,-6.73482,-0.695744,-0.051908,0.171672,-0.015621,149.765415
10,7.654927,5.044147,-5.673725,-6.736929,-0.351841,-0.066484,0.171653,-0.015648,149.757216
10,7.680828,5.187585,-5.692483,-6.772729,-0.288491,-0.071716,0.171559,-0.015631,149.716071
10,7.66471,5.024405,-5.686912,-6.777725,-0.575551,-0.08317,0.171571,-0.015747,149.72116
10,7.654487,5.082048,-5.658023,-6.76014,-0.669798,-0.064874,0.171535,-0.015674,149.705685
10,7.641772,5.021222,-5.683862,-6.734815,-0.671822,-0.05882,0.171607,-0.015569,149.736829
10,7.685169,5.077077,-5.712587,-6.745419,-0.563274,-0.053124,0.171661,-0.015562,149.760481
