,Mean RMS
368,-13.741411226038727
369,-21.110877746470933
370,-14.246822756646223
371,-26.644211127180068
372,-26.973291527294695
373,-6.5617189693884335
374,-27.13505290322622
375,-7.253073907032351
376,-12.650384935229685
377,-28.321325447994337
378,-18.72439558985891
379,-16.10091670500796
380,-14.627443540339799
381,-16.79022108539432
382,-22.88730996874595
383,-19.7970584424599
384,-16.57483448406183
385,-6.878639756302833
386,-12.538448311232418
387,-10.435915926933216
388,-11.647898918875873
389,-23.038246827013992
390,-13.894026882958439
391,-15.05039310846908
392,-8.444711883209601
393,-3.7254473252044757
394,-8.92625601696051
395,-32.485403521741766
396,-38.688803262183164
397,-21.87176970905003
398,-7.314123323391435
399,-14.17451683626766
400,-0.13439099378438737
401,-38.60960573984274
402,1.798429023987359
403,-6.370905706051033
404,-7.605779972969018
405,-32.07093710397772
406,-14.471273648989715
407,-23.029245065669855
408,-22.257169834985987
409,-17.38060754757764
410,-15.71890572514437
411,-9.706739297110023
412,-35.66288220751094
413,-22.160897326400164
414,-16.497448158283856
415,-45.57190941858011
416,-44.23042850036865
417,-26.787808594233926
418,-19.80153710660419
419,-29.994670914010076
420,-29.907571018707387
421,-46.24509133767206
422,-30.438687371693856
423,-49.065576290601555
424,-27.846042795293393
425,-26.607160235062903
426,-12.869965201602568
427,-10.697945641219686
428,-30.809351072281377
429,-37.53881912138926
430,-9.090393384133343
431,-11.74169609842139
432,-20.297248431709207
433,-31.268098901962816
434,-42.44620114082223
435,-10.742317102703012
436,-25.630020404789768
437,-8.317316278168558
438,-25.745030049636974
439,-28.276784649045467
440,-30.540178246759762
441,-34.782355987727726
442,-23.91968432687351
443,-29.95917879746947
444,-28.398199702698466
445,-17.533014618537628
446,-12.68878383093349
447,-7.349897716630188
448,-37.03324906342846
449,-15.070122436227692
450,-10.65412207209949
451,-22.638827189723912
452,-23.867375359157784
453,-25.171515452422906
454,-26.588189793177953
455,-25.592240812041467
456,-22.761969824069723
457,-25.018007888752276
458,-23.3752857118475
459,-3.3155529619379616
460,-12.206579079831693
461,-25.548965621328968
462,-15.023160706456986
463,-15.90570890290271
464,-28.986190383441464
465,-20.61742185206778
466,-12.57708744293013
467,-19.21497201321797
468,-20.22249926868368
469,-14.744688532955463
470,-43.840019840706994
471,-25.741158501679266
472,-9.314819442375383
473,-6.324694571032552
474,-28.739541116844354
475,-23.496580805550288
476,-21.694101760096956
477,-17.318190355826374
478,-2.3392021564168752
479,-18.55345265082176
480,-10.16364116782395
481,-2.2780023028669882
482,-14.190964486679341
483,-15.683409427908579
484,-2.0966945851132652
485,-12.83555125776806
486,-4.814510647485418
487,-4.193816616131643
488,-32.179978692560574
489,-18.473345255294614
490,-33.11821883151126
491,-17.503280039536783
492,-11.718892322627278
493,-16.67662059807649
494,-13.126646710675322
495,-35.857558497367656
496,-15.075553679632522
497,-21.07710373638707
498,-15.007485490766811
499,-25.109203752531354
500,-14.568861888546865
501,-25.097912036660926
502,-32.898737668582974
503,-7.007117300360729
504,-22.577285784934425
505,-16.961580578255216
506,-20.198306665405003
507,-11.63667186041801
508,-14.149137736571133
509,-39.372853327677184
