0 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
14.000	2.376	-0.178
15.000	2.379	-0.198
16.000	2.376	-0.213
17.000	2.379	-0.227
18.000	2.378	-0.237
-14 deg AoA
Port #	Dynamic	Surface
 	Pressure	Pressure
 	In H2O	In H2O
1.000	2.393	-0.034
2.000	2.386	0.691
3.000	2.393	0.422
4.000	2.387	0.253
5.000	2.387	0.117
6.000	2.390	0.020
7.000	2.388	-0.050
8.000	2.391	-0.110
9.000	2.393	-0.147
10.000	2.394	-0.177
11.000	2.395	-0.207
12.000	2.398	-0.240
13.000	2.391	-0.267
14.000	2.392	-0.296
15.000	2.390	-0.329
16.000	2.393	-0.359
17.000	2.391	-0.391
18.000	2.392	-0.418
