"Iteration","Lift in Y Monitor: Lift in Y Monitor (N)"
378.0,796.2942572358606
379.0,796.330130977353
380.0,796.359019205672
381.0,796.3940334234308
382.0,796.4222164078332
383.0,796.4563886630599
384.0,796.483890419747
385.0,796.5172334068945
386.0,796.5440714327414
387.0,796.5766072106246
388.0,796.6027993045676
389.0,796.6345448999475
390.0,796.6601139958824
391.0,796.6910813763884
392.0,796.7160553100089
393.0,796.7462518547015
394.0,796.7706310778841
395.0,796.8000895741156
396.0,796.8238791874962
397.0,796.8526316561423
398.0,796.8758416677008
399.0,796.9039066129468
400.0,796.9265456056231
401.0,796.953938940747
402.0,796.9760231997535
403.0,797.0027587339762
404.0,797.0243009151731
405.0,797.0503927472358
406.0,797.0714057412792
407.0,797.0968685385518
408.0,797.1173673712738
409.0,797.1422121340375
410.0,797.1622101351845
411.0,797.1864499547172
412.0,797.2059596041364
413.0,797.2296086293143
414.0,797.2486417007719
415.0,797.2717142148559
416.0,797.2902823136376
417.0,797.3127927638658
418.0,797.3309042413946
419.0,797.3528695500445
420.0,797.3705400219127
421.0,797.3919723834462
422.0,797.4092111764784
423.0,797.4301216966489
424.0,797.4469409195931
425.0,797.4673389724944
426.0,797.4837470423004
427.0,797.5036514965581
428.0,797.5196591489047
429.0,797.5390785969242
430.0,797.5546933980684
431.0,797.5736429875368
432.0,797.5888771393838
433.0,797.6073673496636
434.0,797.6222306753375
435.0,797.6402722378934
436.0,797.6547753599003
437.0,797.6723761494702
438.0,797.6865261786957
439.0,797.7036990832063
440.0,797.717505788691
441.0,797.7342611771983
442.0,797.7477335130939
443.0,797.76408121181
444.0,797.7772264869252
445.0,797.7931772177292
446.0,797.8060131578673
447.0,797.8215712159341
448.0,797.8340842979637
449.0,797.8492702357955
450.0,797.8614777515361
451.0,797.8763040343773
452.0,797.8882111221328
453.0,797.9027017103899
454.0,797.9143161934098
455.0,797.9284318257359
456.0,797.939768545735
457.0,797.9535476596465
458.0,797.9646121787623
459.0,797.9780587859865
460.0,797.9888531943873
461.0,798.0019765100537
462.0,798.0125086414228
463.0,798.0253218086439
464.0,798.0356003708135
465.0,798.0481060574676
466.0,798.0581361323553
467.0,798.0703409450014
468.0,798.08012913606
469.0,798.0920400693174
470.0,798.1015933792631
